state_N,state_S,state_E,state_W,action,reward,next_state_N,next_state_S,next_state_E,next_state_W,done
0,1,1,1,0,-0.14,0,1,1,1,False
0,1,1,1,0,-0.23,0,0,1,1,False
0,0,1,1,1,-0.21,0,1,1,1,False
0,0,1,1,0,-0.18,0,0,1,1,False
0,1,2,1,0,-0.36,0,1,2,1,False
0,1,2,1,0,-0.43,0,2,2,1,False
0,2,2,1,0,-0.29,0,1,2,1,False
0,1,2,1,1,-0.33,0,1,2,1,False
0,0,2,1,0,0.24,0,1,2,1,False
0,1,2,1,1,-0.24,0,1,2,1,False
0,1,2,1,0,-0.41,0,1,2,1,False
0,1,2,1,1,-0.4,0,1,2,1,False
0,0,1,1,0,0.21,0,1,1,1,False
0,2,2,1,1,-0.31,0,2,2,1,False
0,0,2,1,1,1.28,0,1,2,1,False
0,1,2,1,0,0.3,0,1,1,1,False
0,2,2,1,1,-0.05,0,1,2,1,False
0,1,2,1,1,-0.4,0,1,2,1,False
0,1,2,1,1,0.27,0,1,2,1,False
0,1,2,1,1,1.3,0,1,2,1,False
0,1,2,1,1,-0.08,0,1,2,1,False
0,1,2,1,1,1.15,0,1,2,1,False
0,1,2,1,1,2.18,0,1,1,1,False
0,1,1,1,0,0.17,0,1,1,1,False
0,2,2,1,1,-0.47,0,2,2,1,False
0,1,2,1,1,-0.04,0,1,2,1,False
0,1,2,1,0,-0.25,0,2,2,1,False
0,2,2,1,0,-0.45,0,2,2,1,False
0,2,2,1,1,-0.43,0,2,2,1,False
0,0,2,1,1,-0.32,0,1,2,1,False
0,1,2,1,1,2.7,0,1,2,1,False
0,1,2,1,0,0.43,0,1,2,1,False
0,2,2,1,1,1.18,1,2,2,1,False
0,1,2,1,0,0.07,0,1,2,1,False
0,2,2,1,1,-0.36,0,2,2,1,False
0,1,2,1,0,-0.14,0,1,2,1,False
0,2,2,1,1,-0.27,0,2,2,1,False
1,2,2,1,1,0.41,0,2,2,1,False
0,2,2,1,0,1.52,0,2,2,1,False
0,3,2,1,0,-1.97,0,3,2,1,False
0,3,2,1,1,-0.57,0,2,2,1,False
0,2,1,1,0,0.95,0,2,1,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,2,2,1,1,-0.62,0,2,2,1,False
0,2,2,1,1,1.46,0,2,1,1,False
0,2,1,1,0,-0.58,0,3,2,1,False
0,3,2,1,0,-1.67,0,2,2,1,False
0,2,2,1,1,-0.48,0,2,2,1,False
0,2,2,1,0,0.1,0,2,1,1,False
0,3,2,1,1,-0.34,1,3,2,1,False
1,3,2,1,1,-0.71,1,3,2,1,False
1,3,2,1,1,-0.71,1,3,2,1,False
1,3,2,1,1,-0.71,1,3,2,1,False
1,3,2,1,1,-0.71,1,3,2,1,False
1,3,2,1,1,0.22,0,3,2,1,False
0,3,2,1,0,0.93,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-2.47,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,0,0.99,0,3,1,1,False
0,3,2,1,1,-0.56,0,3,2,1,False
0,3,1,1,0,-0.15,0,3,1,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,1,1,0,0.23,0,3,1,1,False
0,3,2,1,0,-2.39,0,3,2,1,False
0,3,2,1,1,-0.66,0,3,2,1,False
0,3,2,1,1,-0.46,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-2.7,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,0,-0.11,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-2.72,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,-0.68,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-2.68,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,1,-0.57,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,1.08,0,3,1,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,0.17,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-2.71,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,1,-0.54,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.02,0,3,2,1,False
0,3,2,1,0,-0.64,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,0,-0.39,0,3,2,1,False
0,3,2,1,0,-2.73,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,-0.37,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-2.69,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,0,-0.62,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,1,9.22,0,3,1,1,False
0,3,1,1,0,3.3,0,3,1,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.47,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,1,-1.9,0,3,2,1,False
0,3,2,1,0,-0.68,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,1,-0.29,0,3,2,1,False
0,3,2,1,0,-0.55,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,0.42,0,3,2,1,False
0,3,2,1,0,-2.68,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,0,-0.66,0,3,2,1,False
0,3,2,1,0,-0.33,0,3,2,1,False
0,3,2,1,0,-2.09,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,0,-0.68,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,1,6.27,0,3,2,1,False
0,3,2,1,0,0.75,0,3,2,1,False
0,3,2,1,0,-0.65,0,3,2,1,False
0,3,2,1,1,-0.72,0,3,2,1,False
1,3,2,1,1,-1.73,0,3,2,1,False
0,3,2,1,0,0.78,0,3,2,1,False
0,3,2,1,0,-0.68,0,3,2,1,False
0,3,2,1,0,-2.67,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,-0.65,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,-0.15,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,0,-0.66,0,3,2,1,False
0,3,2,1,0,-2.75,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,2,1,0,0.42,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.33,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-2.7,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,1,-0.71,0,3,2,1,False
0,3,1,1,0,2.24,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,-0.31,0,3,2,1,False
0,3,2,1,0,-2.66,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,-0.49,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,1,-0.68,0,3,2,1,False
0,3,2,1,1,0.78,0,3,2,1,False
0,3,2,1,0,-0.62,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,-0.68,0,3,2,1,False
0,3,2,1,0,-0.68,0,3,2,1,False
0,3,2,1,0,-2.78,1,3,2,1,False
1,3,2,1,1,-0.7,1,3,2,1,False
1,3,2,1,1,-0.56,0,3,2,1,False
0,3,2,1,0,-0.69,0,3,2,1,False
0,3,2,1,1,-0.7,1,3,2,1,False
1,3,2,1,1,-0.96,0,3,2,1,False
0,3,2,1,0,-0.69,0,3,2,1,False
0,3,2,1,0,-0.69,0,3,2,1,False
0,3,2,1,0,-2.76,0,3,2,1,False
0,3,2,1,1,-0.69,0,3,2,1,False
0,3,2,1,0,-0.67,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,0,-0.7,0,3,2,1,False
0,3,2,1,1,-0.7,0,3,2,1,False
